,TimeStamp,High,Low,Open,Close,Total Volume,Period Volume,Number of Trades
276,2010-09-17 04:23:00,1137.25,1136.75,1136.75,1137.25,26628,7,0
277,2010-09-17 04:22:00,1137.0,1136.75,1137.0,1136.75,26621,55,0
278,2010-09-17 04:20:00,1137.0,1137.0,1137.0,1137.0,26562,5,0
279,2010-09-17 04:19:00,1137.0,1137.0,1137.0,1137.0,26207,10,0
280,2010-09-17 04:18:00,1137.0,1137.0,1137.0,1137.0,26197,13,0
281,2010-09-17 04:17:00,1137.25,1137.25,1137.25,1137.25,26184,83,0
282,2010-09-17 04:16:00,1137.5,1137.5,1137.5,1137.5,26101,8,0
283,2010-09-17 04:15:00,1137.5,1137.25,1137.5,1137.25,26092,6,0
284,2010-09-17 04:14:00,1137.75,1137.5,1137.75,1137.5,26050,117,0
285,2010-09-17 04:13:00,1137.75,1137.75,1137.75,1137.75,25683,5,0
286,2010-09-17 04:12:00,1137.75,1137.25,1137.25,1137.75,25578,106,0
287,2010-09-17 04:11:00,1137.5,1137.0,1137.25,1137.5,25472,96,0
288,2010-09-17 04:10:00,1137.0,1137.0,1137.0,1137.0,25375,21,0
289,2010-09-17 04:08:00,1136.75,1136.75,1136.75,1136.75,25269,15,0
290,2010-09-17 04:05:00,1136.75,1136.75,1136.75,1136.75,25154,2,0
291,2010-09-17 04:04:00,1137.0,1136.5,1136.75,1136.5,24852,169,0
292,2010-09-17 04:03:00,1137.0,1137.0,1137.0,1137.0,24283,107,0
293,2010-09-17 04:02:00,1137.25,1137.25,1137.25,1137.25,23776,7,0
294,2010-09-17 04:01:00,1137.25,1137.0,1137.25,1137.0,23520,16,0
295,2010-09-17 04:00:00,1137.25,1137.0,1137.25,1137.0,23504,54,0
296,2010-09-17 03:59:00,1137.75,1137.25,1137.75,1137.25,23448,22,0
297,2010-09-17 03:58:00,1137.75,1137.5,1137.5,1137.5,23326,70,0
298,2010-09-17 03:57:00,1137.5,1137.25,1137.25,1137.5,23230,60,0
299,2010-09-17 03:56:00,1137.25,1137.0,1137.0,1137.25,23170,15,0
300,2010-09-17 03:55:00,1137.25,1136.75,1136.75,1137.0,23155,33,0
301,2010-09-17 03:54:00,1137.0,1136.75,1137.0,1136.75,23122,14,0
302,2010-09-17 03:53:00,1137.5,1136.75,1136.75,1137.25,23108,135,0
303,2010-09-17 03:52:00,1136.75,1136.5,1136.5,1136.75,22930,84,0
304,2010-09-17 03:51:00,1136.75,1135.75,1135.75,1136.5,22841,299,0
305,2010-09-17 03:50:00,1136.0,1135.5,1135.75,1135.75,22491,178,0
306,2010-09-17 03:49:00,1135.5,1135.5,1135.5,1135.5,22113,276,0
307,2010-09-17 03:48:00,1135.25,1135.25,1135.25,1135.25,20836,1,0
308,2010-09-17 03:47:00,1135.25,1135.25,1135.25,1135.25,20835,4,0
309,2010-09-17 03:45:00,1135.5,1135.25,1135.5,1135.25,20831,108,0
310,2010-09-17 03:44:00,1135.5,1135.5,1135.5,1135.5,20703,85,0
311,2010-09-17 03:42:00,1135.25,1135.0,1135.0,1135.25,20618,110,0
312,2010-09-17 03:41:00,1135.0,1135.0,1135.0,1135.0,20497,4,0
313,2010-09-17 03:38:00,1135.0,1135.0,1135.0,1135.0,20493,7,0
314,2010-09-17 03:37:00,1134.75,1134.75,1134.75,1134.75,20486,5,0
315,2010-09-17 03:36:00,1135.0,1135.0,1135.0,1135.0,20464,1,0
316,2010-09-17 03:35:00,1135.0,1135.0,1135.0,1135.0,20463,83,0
317,2010-09-17 03:34:00,1135.0,1135.0,1135.0,1135.0,20370,1,0
318,2010-09-17 03:33:00,1134.75,1134.5,1134.75,1134.75,20369,125,0
319,2010-09-17 03:32:00,1135.0,1135.0,1135.0,1135.0,20244,31,0
320,2010-09-17 03:31:00,1135.0,1134.75,1135.0,1134.75,20213,14,0
321,2010-09-17 03:30:00,1135.25,1135.0,1135.25,1135.0,20199,12,0
322,2010-09-17 03:29:00,1135.0,1135.0,1135.0,1135.0,20030,26,0
323,2010-09-17 03:28:00,1135.25,1135.25,1135.25,1135.25,20004,16,0
324,2010-09-17 03:27:00,1135.25,1135.25,1135.25,1135.25,19988,15,0
325,2010-09-17 03:26:00,1135.25,1135.25,1135.25,1135.25,19973,5,0
326,2010-09-17 03:25:00,1135.5,1135.25,1135.5,1135.25,19968,117,0
327,2010-09-17 03:24:00,1135.5,1135.5,1135.5,1135.5,18851,15,0
328,2010-09-17 03:23:00,1135.5,1135.25,1135.5,1135.25,18836,105,0
